hostname,SCSI Bus Number (HBA),LUN Name,Hitachi Product,HDS Product,Serial Number,Port,LUN 0-255,LDEV,Nickname,LDEV type,RAID level,PG,Pool ID,CLPR,Max LBA,Size MB,Size MiB,Size GB,Size GiB,SizeTB,Size TiB,Vendor,Product,Product Revision,SCSI_IOCTL_PROBE_HOST
cb23,1,/dev/sdan,HM700,HUS VM,210030,2B,3,00:0F,,Internal,RAID-1,01-16,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdby,HM700,HUS VM,210030,1A,4,00:10,,Internal,RAID-1,01-17,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddi,HM700,HUS VM,210030,1B,4,00:11,,Internal,RAID-1,01-18,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sde,HM700,HUS VM,210030,2A,4,00:12,,Internal,RAID-1,01-19,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdao,HM700,HUS VM,210030,2B,4,00:13,,Internal,RAID-1,01-20,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdbz,HM700,HUS VM,210030,1A,5,00:14,,Internal,RAID-1,01-21,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddj,HM700,HUS VM,210030,1B,5,00:15,,Internal,RAID-1,01-22,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdf,HM700,HUS VM,210030,2A,5,00:16,,Internal,RAID-1,01-23,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdap,HM700,HUS VM,210030,2B,5,00:17,,Internal,RAID-1,01-24,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdca,HM700,HUS VM,210030,1A,6,00:18,,Internal,RAID-1,01-25,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddk,HM700,HUS VM,210030,1B,6,00:19,,Internal,RAID-1,01-26,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdg,HM700,HUS VM,210030,2A,6,00:1A,,Internal,RAID-1,01-27,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdaq,HM700,HUS VM,210030,2B,6,00:1B,,Internal,RAID-1,01-28,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcb,HM700,HUS VM,210030,1A,7,00:1C,,Internal,RAID-1,01-29,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddl,HM700,HUS VM,210030,1B,7,00:1D,,Internal,RAID-1,01-30,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdh,HM700,HUS VM,210030,2A,7,00:1E,,Internal,RAID-1,01-31,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdar,HM700,HUS VM,210030,2B,7,00:1F,,Internal,RAID-1,01-32,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcc,HM700,HUS VM,210030,1A,8,00:20,,Internal,RAID-1,02-01,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddm,HM700,HUS VM,210030,1B,8,00:21,,Internal,RAID-1,02-02,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdi,HM700,HUS VM,210030,2A,8,00:22,,Internal,RAID-1,02-03,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdas,HM700,HUS VM,210030,2B,8,00:23,,Internal,RAID-1,02-04,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcd,HM700,HUS VM,210030,1A,9,00:24,,Internal,RAID-1,02-05,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddn,HM700,HUS VM,210030,1B,9,00:25,,Internal,RAID-1,02-06,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdj,HM700,HUS VM,210030,2A,9,00:26,,Internal,RAID-1,02-07,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdat,HM700,HUS VM,210030,2B,9,00:27,,Internal,RAID-1,02-08,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdce,HM700,HUS VM,210030,1A,10,00:28,,Internal,RAID-1,02-09,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddo,HM700,HUS VM,210030,1B,10,00:29,,Internal,RAID-1,02-10,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdk,HM700,HUS VM,210030,2A,10,00:2A,,Internal,RAID-1,02-11,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdau,HM700,HUS VM,210030,2B,10,00:2B,,Internal,RAID-1,02-12,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcf,HM700,HUS VM,210030,1A,11,00:2C,,Internal,RAID-1,02-13,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddp,HM700,HUS VM,210030,1B,11,00:2D,,Internal,RAID-1,02-14,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdl,HM700,HUS VM,210030,2A,11,00:2E,,Internal,RAID-1,02-15,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdav,HM700,HUS VM,210030,2B,11,00:2F,,Internal,RAID-1,02-16,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdcg,HM700,HUS VM,210030,1A,12,00:30,,Internal,RAID-1,02-17,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddq,HM700,HUS VM,210030,1B,12,00:31,,Internal,RAID-1,02-18,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdm,HM700,HUS VM,210030,2A,12,00:32,,Internal,RAID-1,02-19,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdaw,HM700,HUS VM,210030,2B,12,00:33,,Internal,RAID-1,02-20,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdch,HM700,HUS VM,210030,1A,13,00:34,,Internal,RAID-1,02-21,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sddr,HM700,HUS VM,210030,1B,13,00:35,,Internal,RAID-1,02-22,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdn,HM700,HUS VM,210030,2A,13,00:36,,Internal,RAID-1,02-23,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
cb23,1,/dev/sdax,HM700,HUS VM,210030,2B,13,00:37,,Internal,RAID-1,02-24,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 01 irq 17 port 1 Logical L
cb23,2,/dev/sdci,HM700,HUS VM,210030,1A,14,00:38,,Internal,RAID-1,02-25,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 00 irq 16 port 0 Logical L
cb23,3,/dev/sdds,HM700,HUS VM,210030,1B,14,00:39,,Internal,RAID-1,02-26,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 2e device 01 irq 17 port 1 Logical L
cb23,0,/dev/sdo,HM700,HUS VM,210030,2A,14,00:3A,,Internal,RAID-1,02-27,,CLPR0,2097151,1073.741824,1024.000000,1.073742,1.000000,0.001074,0.000977,HITACHI ,OPEN-V          ,7303,EMC LPe12002-E 8Gb 2-port PCIe Fibre Channel Adapter on PCI bus 03 device 00 irq 16 port 0 Logical L
